FID,OBJECTID,ESDCode,ESD,ESDName,NAME,DistrictNa,Labels,CODE,CCDDD,CC,DDD,County,AddressLin,AddressL_1,City,State,Zipcode,Administra,Phone,Email,UNSD,SDLEA,Region,OrgId,DistrictId,WEBSITE,SHAPE_Leng,DistrictCode,DistrictName,DistrictOrganizationId,FREQUENCY,SUM_All_Students,SUM_Female,SUM_Gender_X,SUM_Male,SUM_American_Indian__Alaskan_Native,SUM_Asian,SUM_Black__African_American,SUM_Hispanic__Latino_of_any_race_s_,SUM_Native_Hawaiian__Other_Pacific_Islander,SUM_Two_or_More_Races,SUM_White,SUM_English_Language_Learners,SUM_Foster_Care,SUM_Homeless,SUM_Low_Income,SUM_Migrant,SUM_Military_Parent,SUM_Mobile,SUM_Section_504,SUM_Students_with_Disabilities,SUM_Non_English_Language_Learners,SUM_Non_Foster_Care,SUM_Non_Homeless,SUM_Non_Low_Income,SUM_Non_Migrant,SUM_Non_Military_Parent,SUM_Non_Mobile,SUM_Non_Section_504,SUM_Students_without_Disabilities,SHAPE_Length,SHAPE_Area
192,192,17801,121,Puget Sound Educational Service District 121,PENINSULA,PENINSULA SCHOOL DISTRICT,Peninsula,27401,27401,27,401,Pierce,14015 62ND AVE NW, ,GIG HARBOR,Washington,98332-8698,Arthur  Jarvis,(253)530-1002,jarvisa@psd401.net,6690,6690,2,199,197,https://psd401.net/,333293.7276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149767.7854,4892534117
193,193,34801,113,Capital Region ESD 113,PIONEER,PIONEER SCHOOL DISTRICT,Pioneer,23402,23402,23,402,Mason,112 E. Spencer Lake Road, ,SHELTON,Washington,98584-7306,John  Gummel,(360)426-9115,jgummel@psd402.org,6750,6750,1,200,198,https://psd402.org/,256449.1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115107.5912,2513042859
194,194,11801,123,Educational Service District 123,POMEROY,POMEROY SCHOOL DISTRICT,Pomeroy,12110,12110,12,110,Garfield,PO BOX 950, ,POMEROY,Washington,99347-0950,Doug  LaMunyan,(509)843-3393,dlamunyan@psd.wednet.edu,6780,6780,5,201,199,https://www.psd.wednet.edu,834199.2454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368772.2766,19201596468
195,195,18801,114,Olympic Educational Service District 114,PORT ANGELES,PORT ANGELES SCHOOL DISTRICT,Port Angeles,5121,5121,5,121,Clallam,216 E 4TH ST, ,PORT ANGELES,Washington,98362-3200,Martin A Brewer,(360)457-8575,mbrewer@portangelesschools.org,6820,6820,2,202,200,http://www.portangelesschools.org,530609.0173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241873.4309,12143575571
196,196,18801,114,Olympic Educational Service District 114,PORT TOWNSEND,PORT TOWNSEND SCHOOL DISTRICT,Port Townsend,16050,16050,16,50,Jefferson,1610 Blaine St., ,PORT TOWNSEND,Washington,98368,"John A Polm, Jr.",(360)379-4501,jpolm@ptschools.org,6840,6840,2,203,201,http://www.ptschools.org/,440317.0614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201079.8245,4733455156
197,197,11801,123,Educational Service District 123,PRESCOTT,PRESCOTT SCHOOL DISTRICT,Prescott,36402,36402,36,402,Walla Walla,PO Box 65, ,PRESCOTT,Washington,99348-0065,Brett R Cox,(509)849-2216 Ext.105,bcox@prescott.k12.wa.us,6870,6870,4,204,202,http://www.prescott.k12.wa.us/,640340.2139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282983.2545,14166013403
198,198,11801,123,Educational Service District 123,PROSSER,PROSSER SCHOOL DISTRICT,Prosser,3116,3116,3,116,Benton,"1126 MEADE AVE, STE A", ,PROSSER,Washington,99350-1264,Deanna  Flores,(509)786-3323,deanna.flores@prosserschools.org,6900,6900,4,205,203,http://www.prosserschools.org/,867089.1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381855.5609,16726777709
199,199,32801,101,Educational Service District 101,PULLMAN,PULLMAN SCHOOL DISTRICT,Pullman,38267,38267,38,267,Whitman,240 SE DEXTER ST, ,PULLMAN,Washington,99163-3585,Robert  Maxwell,(509)332-3144,rmaxwell@psd267.org,6930,6930,5,206,204,https://www.pullmanschools.org/,420012.1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186678.0734,5768592475
200,200,17801,121,Puget Sound Educational Service District 121,PUYALLUP,PUYALLUP SCHOOL DISTRICT,Puyallup,27003,27003,27,3,Pierce,PO BOX 370, ,PUYALLUP,Washington,98372-3220,Timothy  Yeomans,(253)840-8950,YeomaTS@puyallup.k12.wa.us,6960,6960,2,207,205,http://www.puyallup.k12.wa.us/,255766.0299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114676.2698,1495172574
201,201,18801,114,Olympic Educational Service District 114,QUILCENE,QUILCENE SCHOOL DISTRICT,Quilcene,16048,16048,16,48,Jefferson,PO BOX 40, ,QUILCENE,Washington,98376-0040,Frank  Redmon,(360)765-2902,fredmon@qsd48.org,6990,6990,2,209,207,http://www.quilcene.wednet.edu,755811.9835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342683.4638,13013893644
202,202,18801,114,Olympic Educational Service District 114,QUILLAYUTE VALLEY,QUILLAYUTE VALLEY SCHOOL DISTRICT,Quillayute Valley,5402,5402,5,402,Clallam,411 S Spartan Ave, ,FORKS,Washington,98331,Diana   Reaume,(360)374-6262,diana.reaume@qvschools.org,7020,7020,2,210,208,https://www.qvschools.org/,695895.0945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316392.8803,25295717409
203,203,34801,113,Capital Region ESD 113,LAKE QUINAULT,LAKE QUINAULT SCHOOL DISTRICT,Lake Quinault,14097,14097,14,97,Grays Harbor,PO BOX 38, ,AMANDA PARK,Washington,98526-0038,Richard Dana DuBois,(360)288-2260,rdubois@lakequinaultschools.org,7050,7050,1,211,209,http://www.lakequinaultschools.org/,735260.2219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330782.1104,12475592862
204,204,4801,171,North Central Educational Service District 171,QUINCY,QUINCY SCHOOL DISTRICT,Quincy,13144,13144,13,144,Grant,119 J ST SW, ,QUINCY,Washington,98848-1330,John L Boyd,(509)787-4571,jboyd@qsd.wednet.edu,7080,7080,4,212,210,http://www.qsd.wednet.edu,573816.5845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257376.0225,12677577907
205,205,34801,113,Capital Region ESD 113,RAINIER,RAINIER SCHOOL DISTRICT,Rainier,34307,34307,34,307,Thurston,PO BOX 98, ,RAINIER,Washington,98576-0098,Bryon  Bahr,(360)446-2207,bahrb@rainier.wednet.edu,7110,7110,1,213,211,http://www.rainier.wednet.edu,252360.2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112515.1383,1551217787
206,206,34801,113,Capital Region ESD 113,RAYMOND,RAYMOND SCHOOL DISTRICT,Raymond,25116,25116,25,116,Pacific,1016 COMMERCIAL ST, ,RAYMOND,Washington,98577-2631,Steve  Holland,(360)942-3415,sholland@raymondk12.org,7140,7140,1,214,212,https://raymondk12.org/,363623.1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161576.987,2631229667
207,207,32801,101,Educational Service District 101,REARDAN-EDWALL,REARDAN-EDWALL SCHOOL DISTRICT,Reardan-Edwall,22009,22009,22,9,Lincoln,PO BOX 225, ,REARDAN,Washington,99029-0225,Marcus  Morgan,(509)796-2701,mmorgan@reardansd.net,7210,7210,5,215,213,http://www.reardan.net,819034.7752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370453.6504,10994577018
208,208,17801,121,Puget Sound Educational Service District 121,RENTON,RENTON SCHOOL DISTRICT,Renton,17403,17403,17,403,King,300 SW 7TH ST, ,RENTON,Washington,98057,Damien  Pattenaude,(425)204-2341,damien.pattenaude@rentonschools.us,7230,7230,2,216,214,https://www.rentonschools.us/,200430.3647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90357.1038,959838524.9
209,209,32801,101,Educational Service District 101,REPUBLIC,REPUBLIC SCHOOL DISTRICT,Republic,10309,10309,10,309,Ferry,30306 E HIGHWAY 20, ,REPUBLIC,Washington,99166-8746,John R Glenewinkel,(509)775-3173,jgwinkel@republic.wednet.edu,7260,7260,5,217,215,http://www.republic.wednet.edu,629438.1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289945.2348,13522600708
210,210,11801,123,Educational Service District 123,RICHLAND,RICHLAND SCHOOL DISTRICT,Richland,3400,3400,3,400,Benton,615 SNOW AVE, ,RICHLAND,Washington,99352-3899,Rick  Schulte,(509)967-6001,Rick.Schulte@rsd.edu,7320,7320,4,218,216,http://www.rsd.edu/,646944.9079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286351.9615,12880240297
211,211,6801,112,Educational Service District 112,RIDGEFIELD,RIDGEFIELD SCHOOL DISTRICT,Ridgefield,6122,6122,6,122,Clark,510 PIONEER STREET, ,RIDGEFIELD,Washington,98642-9088,Nathan  McCann,(360)619-1302,nathan.mccann@ridgefieldsd.org,7350,7350,1,219,217,https://www.ridgefieldsd.org/,217780.7465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95226.60258,1575844452
212,212,32801,101,Educational Service District 101,RITZVILLE,RITZVILLE SCHOOL DISTRICT,Ritzville,1160,1160,1,160,Adams,209 E WELLSANDT RD, ,RITZVILLE,Washington,99169-1600,Donald  Vanderholm,(509)659-1660,dvanderholm@lrschools.org,7380,7380,5,220,218,https://www.lrschools.org/,1054800.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472346.1446,18315017936
213,213,32801,101,Educational Service District 101,RIVERSIDE,RIVERSIDE SCHOOL DISTRICT,Riverside,32416,32416,32,416,Spokane,34515 N NEWPORT HWY, ,CHATTAROY,Washington,99003-7706,Ken  Russell,(509)464-8201,ken.russell@rsdmail.org,7440,7440,5,221,219,http://www.riversidesd.org/,483541.6899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219997.7846,5282816147
214,214,34801,113,Capital Region ESD 113,ROCHESTER,ROCHESTER SCHOOL DISTRICT,Rochester,34401,34401,34,401,Thurston,10140 HIGHWAY 12 SW, ,ROCHESTER,Washington,98579-9601,Kimberly M. Fry,(360)273-5536,kfry@rochester.wednet.edu,7470,7470,1,223,221,http://www.rochester.wednet.edu/,371103.8798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165229.3755,2976291604
215,215,6801,112,Educational Service District 112,ROOSEVELT,ROOSEVELT SCHOOL DISTRICT,Roosevelt,20403,20403,20,403,Klickitat,PO BOX 248, ,ROOSEVELT,Washington,99356-0248,Tom  Whitmore,(509)384-5462,twhitmor@esd112.wednet.edu,7530,7530,1,224,222,https://www.rooseveltschooldistrict.net/,353072.3484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154159.0352,2517783637
216,216,32801,101,Educational Service District 101,ROSALIA,ROSALIA SCHOOL DISTRICT,Rosalia,38320,38320,38,320,Whitman,916 S JOSEPHINE AVE, ,ROSALIA,Washington,99170-9550,Richard  Linehan,(509)523-3061,rlinehan@rosaliaschools.org,7560,7560,5,225,223,http://www.rosalia.wednet.edu,544908.4241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244269.8349,3061365136
217,217,39801,105,Educational Service District 105,ROYAL,ROYAL SCHOOL DISTRICT,Royal,13160,13160,13,160,Grant,PO Box 486, ,ROYAL CITY,Washington,99357-0486,Roger  Trail,(509)346-2222,rtrail@royalsd.org,7620,7620,4,226,224,http://www.royal.wednet.edu,491634.8596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219148.6826,11058459620
218,218,29801,189,Northwest Educational Service District 189,SAN JUAN ISLAND,SAN JUAN ISLAND SCHOOL DISTRICT,San Juan Is.,28149,28149,28,149,San Juan,PO BOX 458, ,FRIDAY HARBOR,Washington,98250-0458,Karen  McVeigh,(360)378-4133,karimcveigh@sjisd.wednet.edu,7650,7650,3,227,225,http://www.sjisd.wednet.edu,439242.6733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201931.412,7207881988
219,219,34801,113,Capital Region ESD 113,SATSOP,SATSOP SCHOOL DISTRICT,Satsop,14104,14104,14,104,Grays Harbor,PO BOX 96, ,SATSOP,Washington,98583-0096,Marsha  Hendrick,(360)482-5330,mhendrick.satsop@gmail.com,7680,7680,1,228,226,http://www.satsopschool.org/,97427.51146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43581.00474,272848479.7
220,220,17801,121,Puget Sound Educational Service District 121,SEATTLE,SEATTLE PUBLIC SCHOOLS,Seattle,17001,17001,17,1,King,PO BOX 34165, ,SEATTLE,Washington,98124-1165,Denise  Juneau,(206)252-0180,superintendent@seattleschools.org,7710,7710,2,229,227,http://www.seattleschools.org,310645.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140422.0678,4010907801
221,221,29801,189,Northwest Educational Service District 189,SEDRO-WOOLLEY,SEDRO-WOOLLEY SCHOOL DISTRICT,Sedro-Woolley,29101,29101,29,101,Skagit,801 TRAIL RD, ,SEDRO WOOLLEY,Washington,98284-9387,Phil  Brockman,(360)855-3500,pbrockman@swsd.k12.wa.us,7740,7740,3,230,228,http://www.swsd.k12.wa.us/,641084.4063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294821.2893,11566655599
222,222,39801,105,Educational Service District 105,SELAH,SELAH SCHOOL DISTRICT,Selah,39119,39119,39,119,Yakima,316 W NACHES AVE, ,SELAH,Washington,98942-1117,Shane  Backlund,(509)698-8002,ShaneBacklund@selah.k12.wa.us,7770,7770,4,231,229,http://www.selah.k12.wa.us/,624525.4121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277293.8472,9767119375
223,223,32801,101,Educational Service District 101,SELKIRK,SELKIRK SCHOOL DISTRICT,Selkirk,26070,26070,26,70,Pend Oreille,PO BOX 129, ,METALINE FALLS,Washington,99153-0129,Nancy  Lotze,(509)446-2951,nlotze@selkirkschools.org,7800,7800,5,232,230,http://www.selkirk.k12.wa.us,601234.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277852.9696,16472107657
224,224,18801,114,Olympic Educational Service District 114,SEQUIM,SEQUIM SCHOOL DISTRICT,Sequim,5323,5323,5,323,Clallam,503 N SEQUIM AVE, ,SEQUIM,Washington,98382-3161,Gary  Neal,(360)582-3260,gneal@sequimschools.org,7830,7830,2,233,231,http://www.sequimschools.wednet.edu,529526.6478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241575.0457,13764153837
225,225,29801,189,Northwest Educational Service District 189,SHAW ISLAND,SHAW ISLAND SCHOOL DISTRICT,Shaw Is.,28010,28010,28,10,San Juan,PO BOX 426, ,SHAW ISLAND,Washington,98286-0426,Jennifer  Swanson,(360)468-2570,jswanson@shaw.k12.wa.us,7860,7860,3,234,232,http://www.shaw.k12.wa.us/,96891.70806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44569.06529,474529737.5
226,226,34801,113,Capital Region ESD 113,SHELTON,SHELTON SCHOOL DISTRICT,Shelton,23309,23309,23,309,Mason,700 S 1ST ST, ,SHELTON,Washington,98584-3602,Alex  Apostle,(360)426-8231,aapostle@sheltonschools.org,7900,7900,1,235,233,https://www.sheltonschools.org,380059.0727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170391.8932,4548259942
227,227,17801,121,Puget Sound Educational Service District 121,SHORELINE,SHORELINE SCHOOL DISTRICT,Shoreline,17412,17412,17,412,King,18560 1ST AVE NE, ,SHORELINE,Washington,98155-2118,Rebecca Lee Miner,(206)393-4203,rebecca.miner@shorelineschools.org,7920,7920,2,236,234,http://www.shorelineschools.org,115585.7279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52343.86888,619309716.1
228,228,6801,112,Educational Service District 112,SKAMANIA,SKAMANIA SCHOOL DISTRICT,Skamania,30002,30002,30,2,Skamania,122 BUTLER LOOP RD, ,SKAMANIA,Washington,98648-6021,Ralph H. Pruitt,(509)427-8239,rpruitt@skamania.k12.wa.us,7950,7950,1,237,235,https://skamaniaschooldistrict.org/,727193.6323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319035.9578,6333618648
229,229,17801,121,Puget Sound Educational Service District 121,SKYKOMISH,SKYKOMISH SCHOOL DISTRICT,Skykomish,17404,17404,17,404,King,PO BOX 325, ,SKYKOMISH,Washington,98288-0325,Thomas L Jay,(360)677-2623,tjay@skykomish.wednet.edu,7980,7980,2,238,236,https://www.skykomish.wednet.edu/,464256.6961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209932.1918,10606439676
230,230,29801,189,Northwest Educational Service District 189,SNOHOMISH,SNOHOMISH SCHOOL DISTRICT,Snohomish,31201,31201,31,201,Snohomish,1601 AVENUE D, ,SNOHOMISH,Washington,98290-1799,Kent  Kultgen,(360)563-7280,Kent.Kultgen@sno.wednet.edu,8020,8020,3,239,237,http://www.sno.wednet.edu,437416.5503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198871.7966,3576301804
231,231,17801,121,Puget Sound Educational Service District 121,SNOQUALMIE VALLEY,SNOQUALMIE VALLEY SCHOOL DISTRICT,Snoqualmie Valley,17410,17410,17,410,King,PO BOX 400, ,SNOQUALMIE,Washington,98065-0400,Robert W Manahan,(425)831-8000,manahanr@svsd410.org,8040,8040,2,240,238,http://www.svsd410.org/,697141.9015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314457.8244,10977878567
232,232,4801,171,North Central Educational Service District 171,SOAP LAKE,SOAP LAKE SCHOOL DISTRICT,Soap Lake,13156,13156,13,156,Grant,410 GINKGO ST S, ,SOAP LAKE,Washington,98851-0158,Sunshine  Pray,(509)246-1822,spray@slschools.org,8070,8070,4,241,239,http://www.slschools.org/,213539.2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96246.71702,2084126952
233,233,34801,113,Capital Region ESD 113,SOUTH BEND,SOUTH BEND SCHOOL DISTRICT,S. Bend,25118,25118,25,118,Pacific,PO BOX 437, ,SOUTH BEND,Washington,98586-0437,Jon  Tienhaara,(360)875-6041,jtienhaa@southbendschools.org,8100,8100,1,242,240,http://www.southbend.wednet.edu/,375664.5128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166826.8045,4216029267
234,234,17801,121,Puget Sound Educational Service District 121,TUKWILA,TUKWILA SCHOOL DISTRICT,Tukwila,17406,17406,17,406,King,4640 S 144TH ST, ,TUKWILA,Washington,98168-4134,Lester  Herndon,(206)901-8000,herndonf@tukwila.wednet.edu,8130,8130,2,272,241,https://www.tukwilaschools.org/,78749.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35508.06453,155416614.8
235,235,18801,114,Olympic Educational Service District 114,SOUTH KITSAP,SOUTH KITSAP SCHOOL DISTRICT,S. Kitsap,18402,18402,18,402,Kitsap,2689 HOOVER AVE SE, ,PORT ORCHARD,Washington,98366-3013,Karst  Brandsma,(360)874-7000,brandsma@skschools.org,8160,8160,2,243,242,http://www.skitsap.wednet.edu/,309661.9534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139637.0913,4339354156
236,236,29801,189,Northwest Educational Service District 189,SOUTH WHIDBEY,SOUTH WHIDBEY SCHOOL DISTRICT,S. Whidbey,15206,15206,15,206,Island,5520 Maxwelton Road, ,LANGLEY,Washington,98260,Josephine  Moccia,(360)221-6808 Ext.2221,jmoccia@sw.wednet.edu,8190,8190,3,244,243,http://www.sw.wednet.edu/,298754.1259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136017.0037,4072328065
237,237,34801,113,Capital Region ESD 113,SOUTHSIDE,SOUTHSIDE SCHOOL DISTRICT,Southside,23042,23042,23,42,Mason,161 SE COLLIER RD, ,SHELTON,Washington,98584-8367,Doris C Bolender,(360)426-8437,DBolender@southsideschool.org,8220,8220,1,245,244,http://southsideschool.org/,77360.11178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34679.22855,276975876.9
238,238,32801,101,Educational Service District 101,SPOKANE,SPOKANE SCHOOL DISTRICT,Spokane,32081,32081,32,81,Spokane,200 N BERNARD ST, ,SPOKANE,Washington,99201-0282,Shelley  Redinger,(509)354-7364,ShelleyR@SpokaneSchools.org,8250,8250,5,246,245,http://www.spokaneschools.org/,332801.7072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150580.3666,2339101471
239,239,32801,101,Educational Service District 101,SPRAGUE,SPRAGUE SCHOOL DISTRICT,Sprague,22008,22008,22,8,Lincoln,PO BOX 305, ,SPRAGUE,Washington,99032-0305,William  Ressel,(509)257-2511,bressel@sprague.wednet.edu,8280,8280,5,247,246,http://www.spraguelamont.com/,379037.1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170418.7768,5305133152
240,240,32801,101,Educational Service District 101,ST. JOHN,ST. JOHN SCHOOL DISTRICT,St. John,38322,38322,38,322,Whitman,301 W NOB HL, ,SAINT JOHN,Washington,99171-0058, , , ,8310,8310,5,248,247,http://www.sje.wednet.edu,634010.2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283889.0554,8146970128
241,241,29801,189,Northwest Educational Service District 189,STANWOOD-CAMANO,STANWOOD-CAMANO SCHOOL DISTRICT,Stanwood-Camano,31401,31401,31,401,Snohomish,26920 Pioneer Highway, ,STANWOOD,Washington,98292-9548,Jean  Shumate,(360)629-1200,jshumate@stanwood.wednet.edu,8340,8340,3,249,248,http://www.stanwood.wednet.edu,375378.2041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171492.5021,4989071964
242,242,11801,123,Educational Service District 123,STAR,STAR SCHOOL DISTRICT NO. 054,Star,11054,11054,11,54,Franklin,P. O. Box 1482, ,RICHLAND,Washington,99352-1482,Rich   Puryear,(509)967-6030,rpuryear@starsd.org,8370,8370,4,250,249,https://www.starsd.org/,260979.0338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115436.9698,2130548812
243,243,11801,123,Educational Service District 123,STARBUCK,STARBUCK SCHOOL DISTRICT,Starbuck,7035,7035,7,35,Columbia,PO BOX 188, ,STARBUCK,Washington,99359-0188,Laura  Christian,(509)399-2381,lchristian@starbuck.k12.wa.us,8400,8400,4,251,250,http://www.starbuck.k12.wa.us/,377939.9662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167346.9175,2883376093
244,244,4801,171,North Central Educational Service District 171,STEHEKIN,STEHEKIN SCHOOL DISTRICT,Stehekin,4069,4069,4,69,Chelan,PO BOX 37, ,STEHEKIN,Washington,98852-0037,RICH  MCBRIDE,(509)665-2628,richm@ncesd.org,8430,8430,4,252,251,https://stehekinschool.org/,624641.4496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286294.3544,12247650570
245,245,17801,121,Puget Sound Educational Service District 121,STEILACOOM HIST.,STEILACOOM HIST. SCHOOL DISTRICT,Steilacoom Historical,27001,27001,27,1,Pierce,511 CHAMBERS ST, ,STEILACOOM,Washington,98388-3311,Kathi  Weight,(253)983-2200,kweight@steilacoom.k12.wa.us,8460,8460,2,253,252,http://www.steilacoom.k12.wa.us/,230551.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103327.8737,1613973508
246,246,32801,101,Educational Service District 101,STEPTOE,STEPTOE SCHOOL DISTRICT,Steptoe,38304,38304,38,304,Whitman,PO BOX 138, ,STEPTOE,Washington,99174-3138,Glenn K Frizzell,(509)397-3119,gfrizz@aol.com,8490,8490,5,254,253,http://steptoe.org/,245138.6388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109537.9048,1183183979
247,247,6801,112,Educational Service District 112,STEVENSON-CARSON,STEVENSON-CARSON SCHOOL DISTRICT,Stevenson-Carson,30303,30303,30,303,Skamania,PO BOX 850, ,STEVENSON,Washington,98648-0850,Karen  Douglass,(509)427-5674,douglassk@scsd303.org,8520,8520,1,255,254,http://www.scsd303.org/,1217429.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535299.799,29304472343
248,248,29801,189,Northwest Educational Service District 189,SULTAN,SULTAN SCHOOL DISTRICT,Sultan,31311,31311,31,311,Snohomish,514 4th Street, ,SULTAN,Washington,98294-9474,Dan  Chaplik,(360)793-9800,dan.chaplik@sultan.k12.wa.us,8550,8550,3,256,255,https://www.sultanschools.org/,573369.8675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260366.4599,9202477192
249,249,32801,101,Educational Service District 101,SUMMIT VALLEY,SUMMIT VALLEY SCHOOL DISTRICT,Summit Valley,33202,33202,33,202,Stevens,2360 ADDY GIFFORD RD, ,ADDY,Washington,99101-9703,Kristina  Allen,(509)935-6362,kallen@svalley.k12.wa.us,8580,8580,5,257,256,http://www.svalley.k12.wa.us,236260.8248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108132.0546,1528896511
250,250,17801,121,Puget Sound Educational Service District 121,SUMNER,SUMNER SCHOOL DISTRICT,Sumner,27320,27320,27,320,Pierce,1202 WOOD AVE, ,SUMNER,Washington,98390-1933,Laurie  Dent,(253)891-6080,laurie_Dent@sumnersd.org,8610,8610,2,258,257,https://www.sumnersd.org/,252878.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113394.9235,989006405.5
251,251,39801,105,Educational Service District 105,SUNNYSIDE,SUNNYSIDE SCHOOL DISTRICT,Sunnyside,39201,39201,39,201,Yakima,1110 S 6th St, ,SUNNYSIDE,Washington,98944-2197,Jon Kevin McKay,(509)837-5851,kevin.mckay@sunnysideschools.org,8670,8670,4,259,258,http://www.sunnysideschools.org/,418184.4392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184826.5216,5093894552
252,252,17801,121,Puget Sound Educational Service District 121,TACOMA,TACOMA SCHOOL DISTRICT,Tacoma,27010,27010,27,10,Pierce,PO BOX 1357, ,TACOMA,Washington,98401-1357,Carla  Santorno,(253)571-1010,Csantor@tacoma.k12.wa.us,8700,8700,2,260,259,https://www.tacomaschools.org,242696.3032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108956.791,1937871126
253,253,34801,113,Capital Region ESD 113,TAHOLAH,TAHOLAH SCHOOL DISTRICT,Taholah,14077,14077,14,77,Grays Harbor,PO BOX 249, ,TAHOLAH,Washington,98587-0249,Kathleen  Werner,(360)276-4780,kwerner@taholah.org,8730,8730,1,261,260,https://www.taholah.org/,429275.2786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193196.5876,9537380990
254,254,17801,121,Puget Sound Educational Service District 121,TAHOMA,TAHOMA SCHOOL DISTRICT,Tahoma,17409,17409,17,409,King,25720 MAPLE VALLEY BLK DIAM RD, ,MAPLE VALLEY,Washington,98038-8313,Tony  Giurado,(425)413-3290 Ext.9005,tgiurado@TahomaSD.US,8760,8760,2,262,261,https://www.tahomasd.us/,433512.7239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195142.4133,3386331934
255,255,32801,101,Educational Service District 101,TEKOA,TEKOA SCHOOL DISTRICT,Tekoa,38265,38265,38,265,Whitman,PO BOX 869, ,TEKOA,Washington,99033-0869,Mark  Heid,(509)284-3281,mheid@tekoasd.org,8790,8790,5,263,262,http://www.tekoa.wednet.edu/,213069.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95629.72562,1784167879
